"CO_CID","DS_CID"
"X503","Excesso de exercícios e movimentos vigorosos ou repetitivos - área p/prát. esportes e atletismo"
"X504","Excesso de exercícios e movimentos vigorosos ou repetitivos - rua e estrada"
"X505","Excesso de exercícios e movimentos vigorosos ou repetitivos - áreas de comércio e de serviços"
"X506","Excesso de exercícios e movimentos vigorosos ou repetitivos - áreas industriais e em construção"
"X507","Excesso de exercícios e movimentos vigorosos ou repetitivos - fazenda"
"X508","Excesso de exercícios e movimentos vigorosos ou repetitivos - outros locais especificados"
"X509","Excesso de exercícios e movimentos vigorosos ou repetitivos - local não especificado"
"X510","Viagem e movimento - residência"
"X511","Viagem e movimento - habitação coletiva"
"X512","Viagem e movimento - escolas, outras instituições e áreas de administração pública"
"X513","Viagem e movimento - área para a prática de esportes e atletismo"
"X514","Viagem e movimento - rua e estrada"
"X515","Viagem e movimento - áreas de comércio e de serviços"
"X516","Viagem e movimento - áreas industriais e em construção"
"X517","Viagem e movimento - fazenda"
"X518","Viagem e movimento - outros locais especificados"
"X519","Viagem e movimento - local não especificado"
"X520","Estadia prolongada em ambiente agravitacional - residência"
"X521","Estadia prolongada em ambiente agravitacional - habitação coletiva"
"X522","Estadia prolongada em ambiente agravitacional - escolas, outras instit. e áreas de admin. pública"
"X523","Estadia prolongada em ambiente agravitacional - área para a prática de esportes e atletismo"
"X524","Estadia prolongada em ambiente agravitacional - rua e estrada"
"X525","Estadia prolongada em ambiente agravitacional - áreas de comércio e de serviços"
"X526","Estadia prolongada em ambiente agravitacional - áreas industriais e em construção"
"X527","Estadia prolongada em ambiente agravitacional - fazenda"
"X528","Estadia prolongada em ambiente agravitacional - outros locais especificados"
"X529","Estadia prolongada em ambiente agravitacional - local não especificado"
"X530","Falta de alimento - residência"
"X531","Falta de alimento - habitação coletiva"
"X532","Falta de alimento - escolas, outras instituições e áreas de administração pública"
"X533","Falta de alimento - área para a prática de esportes e atletismo"
"X534","Falta de alimento - rua e estrada"
"X535","Falta de alimento - áreas de comércio e de serviços"
"X536","Falta de alimento - áreas industriais e em construção"
"X537","Falta de alimento - fazenda"
"X538","Falta de alimento - outros locais especificados"
"X539","Falta de alimento - local não especificado"
"X540","Falta de água - residência"
"X541","Falta de água - habitação coletiva"
"X542","Falta de água - escolas, outras instituições e áreas de administração pública"
"X543","Falta de água - área para a prática de esportes e atletismo"
"X544","Falta de água - rua e estrada"
"X545","Falta de água - áreas de comércio e de serviços"
"X546","Falta de água - áreas industriais e em construção"
"X547","Falta de água - fazenda"
"X548","Falta de água - outros locais especificados"
"X549","Falta de água - local não especificado"
"X570","Privação não especificada - residência"
"X571","Privação não especificada - habitação coletiva"
"X572","Privação não especificada - escolas, outras instituições e áreas de administração pública"
"X573","Privação não especificada - área para a prática de esportes e atletismo"
"X574","Privação não especificada - rua e estrada"
"X575","Privação não especificada - áreas de comércio e de serviços"
"X576","Privação não especificada - áreas industriais e em construção"
"X577","Privação não especificada - fazenda"
"X578","Privação não especificada - outros locais especificados"
"X579","Privação não especificada - local não especificado"
"X580","Exposição a outros fatores especificados - residência"
"X581","Exposição a outros fatores especificados - habitação coletiva"
"X582","Exposição a outros fatores especificados - escolas, outras instituições e áreas de admin. pública"
"X583","Exposição a outros fatores especificados - área para a prática de esportes e atletismo"
"X584","Exposição a outros fatores especificados - rua e estrada"
"X585","Exposição a outros fatores especificados - áreas de comércio e de serviços"
"X586","Exposição a outros fatores especificados - áreas industriais e em construção"
"X587","Exposição a outros fatores especificados - fazenda"
"X588","Exposição a outros fatores especificados - outros locais especificados"
"X589","Exposição a outros fatores especificados - local não especificado"
"X590","Exposição a fator não especificado causando fratura"
"X599","Exposição a fator não especificado causando outro traumatismo e traumatismo não especificado"
"X600","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - residência"
"X601","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - habitação coletiva"
"X602","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - esc, out inst e áreas adm púb"
"X603","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - área p/prát esporte/atletismo"
"X604","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - rua e estrada"
"X605","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - áreas de comércio e serviços"
"X606","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - áreas industriais/construção"
"X607","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - fazenda"
"X608","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - outros locais especificados"
"X609","Auto-intox. intenc., a analg., antipirét. e anti-reumát., ñ-opiáceos - local não especificado"
"X610","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - residência"
"X611","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - habitação coletiva"
"X612","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - esc, out inst e áreas adm púb"
"X613","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - área p/prát esporte/atletismo"
"X614","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - rua e estrada"
"X615","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - áreas de comércio e serviços"
"X616","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - áreas industriais/construção"
"X617","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - fazenda"
"X618","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - outros locais especificados"
"X619","Auto-intox. intenc., a antiepil, sedat, hipnót, antipark e psicot - local não especificado"
"X620","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - residência"
"X621","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - habitação coletiva"
"X622","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - escolas, out. inst. e áreas adm. púb."
"X623","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - área p/prática de esportes e atletismo"
"X624","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - rua e estrada"
"X625","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - áreas de comércio e de serviços"
"X626","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - áreas industriais e em construção"
"X627","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - fazenda"
"X628","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - outros locais especificados"
"X629","Auto-intox. intenc., a narc. e alucin. ñ class. out. parte - local não especificado"
"X630","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - residência"
"X631","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - habitação coletiva"
"X632","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - esc, out. inst. e áreas adm. púb"
"X633","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - área p/prática esporte/atletismo"
"X634","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - rua e estrada"
"X635","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - áreas de comércio e serviços"
"X636","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - áreas industriais e construção"
"X637","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - fazenda"
"X638","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - outros locais especificados"
"X639","Auto-intox. intenc., out. subst. farm. de ação s/sist. nerv. aut. - local não especificado"
"X640","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - residência"
"X641","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - habitação coletiva"
"X642","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - esc, out. inst. e áreas adm púb"
"X643","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - área p/prát. esporte/atletismo"
"X644","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - rua e estrada"
"X645","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - áreas de comércio e serviços"
"X646","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - áreas industriais e construção"
"X647","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - fazenda"
"X648","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - outros locais especificados"
"X649","Auto-intox. intenc., out. drogas, medic. e subst. biol. e ñ espec. - local não especificado"
"X650","Auto-intoxicação voluntária por álcool - residência"
"X651","Auto-intoxicação voluntária por álcool - habitação coletiva"
"X652","Auto-intoxicação voluntária por álcool - escolas, out. instituições e áreas de administração pública"
"X653","Auto-intoxicação voluntária por álcool - área para a prática de esportes e atletismo"
"X654","Auto-intoxicação voluntária por álcool - rua e estrada"
"X655","Auto-intoxicação voluntária por álcool - áreas de comércio e de serviços"
"X656","Auto-intoxicação voluntária por álcool - áreas industriais e em construção"
"X657","Auto-intoxicação voluntária por álcool - fazenda"
"X658","Auto-intoxicação voluntária por álcool - outros locais especificados"
"X659","Auto-intoxicação voluntária por álcool - local não especificado"
"X660","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - residência"
"X661","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - habitação coletiva"
"X662","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - esc, out. inst. e áreas adm púb"
"X663","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - área p/prát. esporte/atletismo"
"X664","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - rua e estrada"
"X665","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - áreas de comércio e de serviços"
"X666","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - áreas industriais e em construção"
"X667","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - fazenda"
"X668","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - outros locais especificados"
"X669","Auto-intox. intenc. por solv. org., hidrocarb. halog. e vapores - local não especificado"
"X670","Auto-intoxicação intencional por outros gases e vapores - residência"
"X671","Auto-intoxicação intencional por outros gases e vapores - habitação coletiva"
"X672","Auto-intoxicação intencional por outros gases e vapores - escolas, out. inst. e áreas admin. pública"
"X673","Auto-intoxicação intencional por outros gases e vapores - área para prática de esportes e atletismo"
"X674","Auto-intoxicação intencional por outros gases e vapores - rua e estrada"
"X675","Auto-intoxicação intencional por outros gases e vapores - áreas de comércio e de serviços"
"X676","Auto-intoxicação intencional por outros gases e vapores - áreas industriais e em construção"
"X677","Auto-intoxicação intencional por outros gases e vapores - fazenda"
"X678","Auto-intoxicação intencional por outros gases e vapores - outros locais especificados"
"X679","Auto-intoxicação intencional por outros gases e vapores - local não especificado"
"X680","Auto-intoxicação por exposição intencional a pesticidas - residência"
"X681","Auto-intoxicação por exposição intencional a pesticidas - habitação coletiva"
"X682","Auto-intoxicação por exposição intencional a pesticidas - escolas, out. inst. e áreas adm. pública"
"X683","Auto-intoxicação por exposição intencional a pesticidas - área p/a prática de esportes e atletismo"
"X684","Auto-intoxicação por exposição intencional a pesticidas - rua e estrada"
"X685","Auto-intoxicação por exposição intencional a pesticidas - áreas de comércio e de serviços"
"X686","Auto-intoxicação por exposição intencional a pesticidas - áreas industriais e em construção"
"X687","Auto-intoxicação por exposição intencional a pesticidas - fazenda"
"X688","Auto-intoxicação por exposição intencional a pesticidas - outros locais especificados"
"X689","Auto-intoxicação por exposição intencional a pesticidas - local não especificado"
"X690","Auto-intox por expos intenc prod quím/subst noc ñ espec - residência"
"X691","Auto-intox por expos intenc prod quím/subst noc ñ espec - habitação coletiva"
"X692","Auto-intox por expos intenc prod quím/subst noc ñ espec - escolas, out inst e áreas adm pública"
"X693","Auto-intox por expos intenc prod quím/subst noc ñ espec - área p/a prática de esportes e atletismo"
"X694","Auto-intox por expos intenc prod quím/subst noc ñ espec - rua e estrada"
"X695","Auto-intox por expos intenc prod quím/subst noc ñ espec - áreas de comércio e de serviços"
"X696","Auto-intox por expos intenc prod quím/subst noc ñ espec - áreas industriais e em construção"
"X697","Auto-intox por expos intenc prod quím/subst noc ñ espec - fazenda"
"X698","Auto-intox por expos intenc prod quím/subst noc ñ espec - outros locais especificados"
"X699","Auto-intox por expos intenc prod quím/subst noc ñ espec - local não especificado"
"X700","Lesão autoprov. intenc. por enforc., estrang. e sufocação - residência"
"X701","Lesão autoprov. intenc. por enforc., estrang. e sufocação - habitação coletiva"
"X702","Lesão autoprov. intenc. por enforc., estrang. e sufocação - escolas, out. inst. e áreas adm. pública"
"X703","Lesão autoprov. intenc. por enforc., estrang. e sufocação - área p/a prática de esportes e atletismo"
"X704","Lesão autoprov. intenc. por enforc., estrang. e sufocação - rua e estrada"
"X705","Lesão autoprov. intenc. por enforc., estrang. e sufocação - áreas de comércio e de serviços"
"X706","Lesão autoprov. intenc. por enforc., estrang. e sufocação - áreas industriais e em construção"
"X707","Lesão autoprov. intenc. por enforc., estrang. e sufocação - fazenda"
"X708","Lesão autoprov. intenc. por enforc., estrang. e sufocação - outros locais especificados"
"X709","Lesão autoprov. intenc. por enforc., estrang. e sufocação - local não especificado"
"X710","Lesão autoprov. intenc. por afogamento e submersão - residência"
"X711","Lesão autoprov. intenc. por afogamento e submersão - habitação coletiva"
"X712","Lesão autoprov. intenc. por afogamento e submersão - escolas, out. instit. e áreas de admin. pública"
"X713","Lesão autoprov. intenc. por afogamento e submersão - área para a prática de esportes e atletismo"
"X714","Lesão autoprov. intenc. por afogamento e submersão - rua e estrada"
"X715","Lesão autoprov. intenc. por afogamento e submersão - áreas de comércio e de serviços"
"X716","Lesão autoprov. intenc. por afogamento e submersão - áreas industriais e em construção"
"X717","Lesão autoprov. intenc. por afogamento e submersão - fazenda"
"X718","Lesão autoprov. intenc. por afogamento e submersão - outros locais especificados"
"X719","Lesão autoprov. intenc. por afogamento e submersão - local não especificado"
"X720","Lesão autoprov. intenc. por disparo de arma de fogo de mão - residência"
"X721","Lesão autoprov. intenc. por disparo de arma de fogo de mão - habitação coletiva"
"X722","Lesão autoprov. intenc. por disparo de arma de fogo de mão - esc, out. instit. e área admin. pública"
"X723","Lesão autoprov. intenc. por disparo de arma de fogo de mão - área p/a prática de esporte e atletismo"
"X724","Lesão autoprov. intenc. por disparo de arma de fogo de mão - rua e estrada"
"X725","Lesão autoprov. intenc. por disparo de arma de fogo de mão - áreas de comércio e de serviços"
"X726","Lesão autoprov. intenc. por disparo de arma de fogo de mão - áreas industriais e em construção"
"X727","Lesão autoprov. intenc. por disparo de arma de fogo de mão - fazenda"
"X728","Lesão autoprov. intenc. por disparo de arma de fogo de mão - outros locais especificados"
"X729","Lesão autoprov. intenc. por disparo de arma de fogo de mão - local não especificado"
"X730","Lesão autoprov. intenc. por disp arma de fogo de > calibre - residência"
"X731","Lesão autoprov. intenc. por disp arma de fogo de > calibre - habitação coletiva"
"X732","Lesão autoprov. intenc. por disp arma de fogo de > calibre - esc, out. instit. e área admin. pública"
"X733","Lesão autoprov. intenc. por disp arma de fogo de > calibre - área p/a prática de esporte e atletismo"
"X734","Lesão autoprov. intenc. por disp arma de fogo de > calibre - rua e estrada"
"X735","Lesão autoprov. intenc. por disp arma de fogo de > calibre - áreas de comércio e de serviços"
"X736","Lesão autoprov. intenc. por disp arma de fogo de > calibre - áreas industriais e em construção"
"X737","Lesão autoprov. intenc. por disp arma de fogo de > calibre - fazenda"
"X738","Lesão autoprov. intenc. por disp arma de fogo de > calibre - outros locais especificados"
"X739","Lesão autoprov. intenc. por disp arma de fogo de > calibre - local não especificado"
"X740","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - residência"
"X741","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - habitação coletiva"
"X742","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - escola, out. inst. e área admin. pública"
"X743","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - área p/a prática de esportes e atletismo"
"X744","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - rua e estrada"
"X745","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - áreas de comércio e de serviços"
"X746","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - áreas industriais e em construção"
"X747","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - fazenda"
"X748","Lesão autoprov. intenc. por disp. arma de fogo ñ especif. - outros locais especificados"
"X749","Lesão autoprov. intenc. por disp. arma de fogo n especif. - local não especificado"
"X750","Lesão autoprov. intenc. por dispositivos explosivos - residência"
"X751","Lesão autoprov. intenc. por dispositivos explosivos - habitação coletiva"
"X752","Lesão autoprov. intenc. por dispositivos explosivos - escolas, out. instit. e área de admin. pública"
"X753","Lesão autoprov. intenc. por dispositivos explosivos - área para a prática de esportes e atletismo"
"X754","Lesão autoprov. intenc. por dispositivos explosivos - rua e estrada"
"X755","Lesão autoprov. intenc. por dispositivos explosivos - áreas de comércio e de serviços"
"X756","Lesão autoprov. intenc. por dispositivos explosivos - áreas industriais e em construção"
"X757","Lesão autoprov. intenc. por dispositivos explosivos - fazenda"
"X758","Lesão autoprov. intenc. por dispositivos explosivos - outros locais especificados"
"X759","Lesão autoprov. intenc. por dispositivos explosivos - local não especificado"
"X760","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - residência"
"X761","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - habitação coletiva"
"X762","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - escola, out. inst. e área admin. públ."
"X763","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - área p/a prática de esport e atletismo"
"X764","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - rua e estrada"
"X765","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - áreas de comércio e de serviços"
"X766","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - áreas industriais e em construção"
"X767","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - fazenda"
"X768","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - outros locais especificados"
"X769","Lesão autoprov. intenc. pela fumaça, pelo fogo e por chamas - local não especificado"
"X770","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - residência"
"X771","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - habitação coletiva"
"X772","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - escola, out. inst. e área admin. públ."
"X773","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - área p/a prática de esport e atletismo"
"X774","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - rua e estrada"
"X775","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - áreas de comércio e de serviços"
"X776","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - áreas industriais e em construção"
"X777","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - fazenda"
"X778","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - outros locais especificados"
"X779","Lesão autoprov. intenc. por vapor dágua, gas ou obj. quent - local não especificado"
"X780","Lesão autoprov. intenc. por objeto cortante/penetrante - residência"
"X781","Lesão autoprov. intenc. por objeto cortante/penetrante - habitação coletiva"
"X782","Lesão autoprov. intenc. por objeto cortante/penetrante - escolas, out. instit. e área admin. pública"
"X783","Lesão autoprov. intenc. por objeto cortante/penetrante - área para a prática de esportes e atletismo"
"X784","Lesão autoprov. intenc. por objeto cortante/penetrante - rua e estrada"
"X785","Lesão autoprov. intenc. por objeto cortante/penetrante - áreas de comércio e de serviços"
"X786","Lesão autoprov. intenc. por objeto cortante/penetrante - áreas industriais e em construção"
"X787","Lesão autoprov. intenc. por objeto cortante/penetrante - fazenda"
"X788","Lesão autoprov. intenc. por objeto cortante/penetrante - outros locais especificados"
"X789","Lesão autoprov. intenc. por objeto cortante/penetrante - local não especificado"
"X790","Lesão autoprov. intenc. por objeto contundente - residência"
"X791","Lesão autoprov. intenc. por objeto contundente - habitação coletiva"
"X792","Lesão autoprov. intenc. por objeto contundente - escolas, outras instit. e áreas de admin. pública"
"X793","Lesão autoprov. intenc. por objeto contundente - área para a prática de esportes e atletismo"
"X794","Lesão autoprov. intenc. por objeto contundente - rua e estrada"
"X795","Lesão autoprov. intenc. por objeto contundente - áreas de comércio e de serviços"
"X796","Lesão autoprov. intenc. por objeto contundente - áreas industriais e em construção"
"X797","Lesão autoprov. intenc. por objeto contundente - fazenda"
"X798","Lesão autoprov. intenc. por objeto contundente - outros locais especificados"
"X799","Lesão autoprov. intenc. por objeto contundente - local não especificado"
"X800","Lesão autoprov. intenc. por precip. de um lugar elevado - residência"
"X801","Lesão autoprov. intenc. por precip. de um lugar elevado - habitação coletiva"
"X802","Lesão autoprov. intenc. por precip. de um lugar elevado - escolas, out. inst. e áreas admin. pública"
"X803","Lesão autoprov. intenc. por precip. de um lugar elevado - área para a prática de esporte e atletismo"
"X804","Lesão autoprov. intenc. por precip. de um lugar elevado - rua e estrada"
"X805","Lesão autoprov. intenc. por precip. de um lugar elevado - áreas de comércio e de serviços"
"X806","Lesão autoprov. intenc. por precip. de um lugar elevado - áreas industriais e em construção"
"X807","Lesão autoprov. intenc. por precip. de um lugar elevado - fazenda"
"X808","Lesão autoprov. intenc. por precip. de um lugar elevado - outros locais especificados"
"X809","Lesão autoprov. intenc. por precip. de um lugar elevado - local não especificado"
"X810","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - residência"
"X811","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - habitação coletiva"
"X812","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - esc, out inst e área admin públ"
"X813","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - área p/prát. de esp./atletismo"
"X814","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - rua e estrada"
"X815","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - áreas de comércio e de serviços"
"X816","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - áreas industriais e construção"
"X817","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - fazenda"
"X818","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - outros locais especificados"
"X819","Lesão autoprov. intenc. por precip. ou perman. diante obj. em mov. - local não especificado"
"X820","Lesão autoprov. intenc. por impacto de um veículo a motor - residência"
"X821","Lesão autoprov. intenc. por impacto de um veículo a motor - habitação coletiva"
"X822","Lesão autoprov. intenc. por impacto de um veículo a motor - escolas, out. inst. e áreas admin. públ."
"X823","Lesão autoprov. intenc. por impacto de um veículo a motor - área p/a prática de esporte e atletismo"
"X824","Lesão autoprov. intenc. por impacto de um veículo a motor - rua e estrada"
"X825","Lesão autoprov. intenc. por impacto de um veículo a motor - áreas de comércio e de serviços"
"X826","Lesão autoprov. intenc. por impacto de um veículo a motor - áreas industriais e em construção"
"X827","Lesão autoprov. intenc. por impacto de um veículo a motor - fazenda"
"X828","Lesão autoprov. intenc. por impacto de um veículo a motor - outros locais especificados"
"X829","Lesão autoprov. intenc. por impacto de um veículo a motor - local não especificado"
"X830","Lesão autoprov. intenc. por outros meios especificados - residência"
"X831","Lesão autoprov. intenc. por outros meios especificados - habitação coletiva"
"X832","Lesão autoprov. intenc. por outros meios especificados - escolas, out. instit. e área admin. pública"
"X833","Lesão autoprov. intenc. por outros meios especificados - área para a prática de esportes e atletismo"
"X834","Lesão autoprov. intenc. por outros meios especificados - rua e estrada"
"X835","Lesão autoprov. intenc. por outros meios especificados - áreas de comércio e de serviços"
"X836","Lesão autoprov. intenc. por outros meios especificados - áreas industriais e em construção"
"X837","Lesão autoprov. intenc. por outros meios especificados - fazenda"
"X838","Lesão autoprov. intenc. por outros meios especificados - outros locais especificados"
"X839","Lesão autoprov. intenc. por outros meios especificados - local não especificado"
"X840","Lesão autoprov. intenc. por meios não especificados - residência"
"X841","Lesão autoprov. intenc. por meios não especificados - habitação coletiva"
"X842","Lesão autoprov. intenc. por meios não especificados - escolas, out. instit. e área de admin. pública"
"X843","Lesão autoprov. intenc. por meios não especificados - área para a prática de esportes e atletismo"
"X844","Lesão autoprov. intenc. por meios não especificados - rua e estrada"
"X845","Lesão autoprov. intenc. por meios não especificados - áreas de comércio e de serviços"
"X846","Lesão autoprov. intenc. por meios não especificados - áreas industriais e em construção"
"X847","Lesão autoprov. intenc. por meios não especificados - fazenda"
"X848","Lesão autoprov. intenc. por meios não especificados - outros locais especificados"
"X849","Lesão autoprov. intenc. por meios não especificados - local não especificado"
"X850","Agressão por meio de drogas, medic. e subst. biol. - residência"
"X851","Agressão por meio de drogas, medic. e subst. biol. - habitação coletiva"
"X852","Agressão por meio de drogas, medic. e subst. biol. - escolas, outra instit. e área de admin. pública"
"X853","Agressão por meio de drogas, medic. e subst. biol. - área para a prática de esportes e atletismo"
"X854","Agressão por meio de drogas, medic. e subst. biol. - rua e estrada"
"X855","Agressão por meio de drogas, medic. e subst. biol. - áreas de comércio e de serviços"
"X856","Agressão por meio de drogas, medic. e subst. biol. - áreas industriais e em construção"
"X857","Agressão por meio de drogas, medic. e subst. biol. - fazenda"
"X858","Agressão por meio de drogas, medic. e subst. biol. - outros locais especificados"
"X859","Agressão por meio de drogas, medic. e subst. biol. - local não especificado"
"X860","Agressão por meio de substâncias corrosivas - residência"
"X861","Agressão por meio de substâncias corrosivas - habitação coletiva"
"X862","Agressão por meio de substâncias corrosivas - escolas, outras instituições e áreas de admin. pública"
"X863","Agressão por meio de substâncias corrosivas - área para a prática de esportes e atletismo"
"X864","Agressão por meio de substâncias corrosivas - rua e estrada"
"X865","Agressão por meio de substâncias corrosivas - áreas de comércio e de serviços"
"X866","Agressão por meio de substâncias corrosivas - áreas industriais e em construção"
"X867","Agressão por meio de substâncias corrosivas - fazenda"
"X868","Agressão por meio de substâncias corrosivas - outros locais especificados"
"X869","Agressão por meio de substâncias corrosivas - local não especificado"
"X870","Agressão por pesticidas - residência"
"X871","Agressão por pesticidas - habitação coletiva"
"X872","Agressão por pesticidas - escolas, outras instituições e áreas de administração pública"
"X873","Agressão por pesticidas - área para a prática de esportes e atletismo"
"X874","Agressão por pesticidas - rua e estrada"
"X875","Agressão por pesticidas - áreas de comércio e de serviços"
"X876","Agressão por pesticidas - áreas industriais e em construção"
"X877","Agressão por pesticidas - fazenda"
"X878","Agressão por pesticidas - outros locais especificados"
"X879","Agressão por pesticidas - local não especificado"
"X880","Agressão por meio de gases e vapores - residência"
"X881","Agressão por meio de gases e vapores - habitação coletiva"
"X882","Agressão por meio de gases e vapores - escolas, outras instituições e áreas de administração pública"
"X883","Agressão por meio de gases e vapores - área para a prática de esportes e atletismo"
"X884","Agressão por meio de gases e vapores - rua e estrada"
"X885","Agressão por meio de gases e vapores - áreas de comércio e de serviços"
"X886","Agressão por meio de gases e vapores - áreas industriais e em construção"
"X887","Agressão por meio de gases e vapores - fazenda"
"X888","Agressão por meio de gases e vapores - outros locais especificados"
"X889","Agressão por meio de gases e vapores - local não especificado"
"X890","Agressão por meio out. prod. quím./subst. nocivas espec. - residência"
"X891","Agressão por meio out. prod. quím./subst. nocivas espec. - habitação coletiva"
"X892","Agressão por meio out. prod. quím./subst. nocivas espec. - escolas, out. inst. e área admin. pública"
"X893","Agressão por meio out. prod. quím./subst. nocivas espec. - área p/a prática de esportes e atletismo"
"X894","Agressão por meio out. prod. quím./subst. nocivas espec. - rua e estrada"
"X895","Agressão por meio out. prod. quím./subst. nocivas espec. - áreas de comércio e de serviços"
"X896","Agressão por meio out. prod. quím./subst. nocivas espec. - áreas industriais e em construção"
"X897","Agressão por meio out. prod. quím./subst. nocivas espec. - fazenda"
"X898","Agressão por meio out. prod. quím./subst. nocivas espec. - outros locais especificados"
